#_x,Country,Daily Oil Consumption (barrels),Consumption World Share,Yearly Gallons Per Capita,#_y,Oil Reserves (barrels) in 2025,Reserves World Share,Annual Oil Consumption (barrels),Reserve-to-Consumption Ratio
58,Ukraine,205641.0,0.002,83.3,50,395000000.0,0.00021999999999999998,75058965.0,5.262529266157614
60,Hungary,179680.0,0.0018,284.7,86,13800000.0,7.8e-06,65583200.0,0.210419741641152
62,New Zealand,159238.0,0.0016,468.2,77,45355000.0,2.6e-05,58121870.0,0.780343096325015
64,Denmark,151082.0,0.0015,387.5,51,364808000.0,0.00021,55144930.0,6.615440440308837
66,Turkmenistan,146281.0,0.0014000000000000002,299.2,44,600000000.0,0.00034,53392565.0,11.237519680876916
67,Uzbekistan,135564.0,0.0013,57.2,46,594000000.0,0.00034,49480860.0,12.004641794827334
69,Myanmar,125315.0,0.0012,35.2,65,139000000.0,7.900000000000001e-05,45739975.0,3.038917270942977
70,Guatemala,124149.0,0.0012,103.4,73,88321000.0,5e-05,45314385.0,1.9490720220521585
71,Syria,123817.0,0.0012,76.9,32,2500000000.0,0.0014000000000000002,45193205.0,55.318050578621275
72,Angola,122135.0,0.0012,49.4,30,2550000000.0,0.0014000000000000002,44579275.0,57.201468619666876
73,Belarus,116200.0,0.0011,196.7,57,198000000.0,0.00010999999999999999,42413000.0,4.668379977836984
76,Cuba,112423.0,0.0011,157,67,124000000.0,7.000000000000001e-05,41034395.0,3.0218552022029326
77,Azerbaijan,111631.0,0.0011,165.6,19,7000000000.0,0.004,40745315.0,171.7988927070511
78,Bulgaria,108095.0,0.0011,245.2,84,15000000.0,8.5e-06,39454675.0,0.38018308350024427
79,Bolivia,103845.0,0.001,128.2,54,240900000.0,0.00014000000000000001,37903425.0,6.3556261736241515
80,Ethiopia,103689.0,0.001,12,100,428000.0,2.4000000000000003e-07,37846485.0,0.011308844137044695
81,Ghana,102779.0,0.001,45.8,43,660000000.0,0.00037,37514335.0,17.59327467753327
82,Tunisia,102742.0,0.001,128.3,49,425000000.0,0.00024,37500830.0,11.33308249444079
83,Yemen,100734.0,0.00098,38.1,27,3000000000.0,0.0017000000000000001,36767910.0,81.59288901653643
84,Jordan,100695.0,0.00098,133.6,98,1000000.0,5.7e-07,36753675.0,0.027208163537387756
86,C̫te d'Ivoire,93431.0,0.00091,44.9,72,100000000.0,5.7e-05,34102315.0,2.932352246467725
89,Serbia,87499.0,0.0008500000000000001,199.1,74,77500000.0,4.4000000000000006e-05,31937135.0,2.4266422144628814
90,Slovakia,86743.0,0.0008500000000000001,241.5,92,9000000.0,5.1e-06,31661195.0,0.28425964338996046
91,Sudan,86186.0,0.00084,26.2,22,5000000000.0,0.0028000000000000004,31457890.0,158.9426372843188
93,Croatia,81914.0,0.0008,324,75,71000000.0,4e-05,29898610.0,2.374692335195516
97,Bahrain,70235.0,0.00068,670,59,169900000.0,9.599999999999999e-05,25635775.0,6.627457137535338
98,Lithuania,67708.0,0.00066,363,89,12000000.0,6.8e-06,24713420.0,0.48556614179664326
107,Benin,47217.0,0.00046,50,93,8000000.0,4.5e-06,17234205.0,0.46419315541389927
113,Uganda,44015.0,0.00043,13.5,31,2500000000.0,0.0014000000000000002,16065475.0,155.61320160157106
114,Papua New Guinea,42716.0,0.00042,61.9,64,143387000.0,8.099999999999999e-05,15591340.0,9.196579639723078
115,Mozambique,42455.0,0.00041,18.8,71,100000000.0,5.7e-05,15496075.0,6.453247031909693
117,Cameroon,39089.0,0.00037999999999999997,20.6,56,200000000.0,0.00010999999999999999,14267485.0,14.017887525376757
118,Georgia,38674.0,0.00037999999999999997,155.7,80,35000000.0,2e-05,14116010.0,2.4794541800409604
124,Tajikistan,32748.0,0.00032,47.4,88,12000000.0,6.8e-06,11953020.0,1.003930387466933
127,Mauritania,30550.0,0.0003,90.6,82,20000000.0,1.1000000000000001e-05,11150750.0,1.7936013272649822
